industry_short,sic,industry_long
Agric,0100,Agric production - crops
Agric,0101,Agric production - crops
Agric,0102,Agric production - crops
Agric,0103,Agric production - crops
Agric,0104,Agric production - crops
Agric,0105,Agric production - crops
Agric,0106,Agric production - crops
Agric,0107,Agric production - crops
Agric,0108,Agric production - crops
Agric,0109,Agric production - crops
Agric,0110,Agric production - crops
Agric,0111,Agric production - crops
Agric,0112,Agric production - crops
Agric,0113,Agric production - crops
Agric,0114,Agric production - crops
Agric,0115,Agric production - crops
Agric,0116,Agric production - crops
Agric,0117,Agric production - crops
Agric,0118,Agric production - crops
Agric,0119,Agric production - crops
Agric,0120,Agric production - crops
Agric,0121,Agric production - crops
Agric,0122,Agric production - crops
Agric,0123,Agric production - crops
Agric,0124,Agric production - crops
Agric,0125,Agric production - crops
Agric,0126,Agric production - crops
Agric,0127,Agric production - crops
Agric,0128,Agric production - crops
Agric,0129,Agric production - crops
Agric,0130,Agric production - crops
Agric,0131,Agric production - crops
Agric,0132,Agric production - crops
Agric,0133,Agric production - crops
Agric,0134,Agric production - crops
Agric,0135,Agric production - crops
Agric,0136,Agric production - crops
Agric,0137,Agric production - crops
Agric,0138,Agric production - crops
Agric,0139,Agric production - crops
Agric,0140,Agric production - crops
Agric,0141,Agric production - crops
Agric,0142,Agric production - crops
Agric,0143,Agric production - crops
Agric,0144,Agric production - crops
Agric,0145,Agric production - crops
Agric,0146,Agric production - crops
Agric,0147,Agric production - crops
Agric,0148,Agric production - crops
Agric,0149,Agric production - crops
Agric,0150,Agric production - crops
Agric,0151,Agric production - crops
Agric,0152,Agric production - crops
Agric,0153,Agric production - crops
Agric,0154,Agric production - crops
Agric,0155,Agric production - crops
Agric,0156,Agric production - crops
Agric,0157,Agric production - crops
Agric,0158,Agric production - crops
Agric,0159,Agric production - crops
Agric,0160,Agric production - crops
Agric,0161,Agric production - crops
Agric,0162,Agric production - crops
Agric,0163,Agric production - crops
Agric,0164,Agric production - crops
Agric,0165,Agric production - crops
Agric,0166,Agric production - crops
Agric,0167,Agric production - crops
Agric,0168,Agric production - crops
Agric,0169,Agric production - crops
Agric,0170,Agric production - crops
Agric,0171,Agric production - crops
Agric,0172,Agric production - crops
Agric,0173,Agric production - crops
Agric,0174,Agric production - crops
Agric,0175,Agric production - crops
Agric,0176,Agric production - crops
Agric,0177,Agric production - crops
Agric,0178,Agric production - crops
Agric,0179,Agric production - crops
Agric,0180,Agric production - crops
Agric,0181,Agric production - crops
Agric,0182,Agric production - crops
Agric,0183,Agric production - crops
Agric,0184,Agric production - crops
Agric,0185,Agric production - crops
Agric,0186,Agric production - crops
Agric,0187,Agric production - crops
Agric,0188,Agric production - crops
Agric,0189,Agric production - crops
Agric,0190,Agric production - crops
Agric,0191,Agric production - crops
Agric,0192,Agric production - crops
Agric,0193,Agric production - crops
Agric,0194,Agric production - crops
Agric,0195,Agric production - crops
Agric,0196,Agric production - crops
Agric,0197,Agric production - crops
Agric,0198,Agric production - crops
Agric,0199,Agric production - crops
Agric,0200,Agric production - livestock
Agric,0201,Agric production - livestock
Agric,0202,Agric production - livestock
Agric,0203,Agric production - livestock
Agric,0204,Agric production - livestock
Agric,0205,Agric production - livestock
Agric,0206,Agric production - livestock
Agric,0207,Agric production - livestock
Agric,0208,Agric production - livestock
Agric,0209,Agric production - livestock
Agric,0210,Agric production - livestock
Agric,0211,Agric production - livestock
Agric,0212,Agric production - livestock
Agric,0213,Agric production - livestock
Agric,0214,Agric production - livestock
Agric,0215,Agric production - livestock
Agric,0216,Agric production - livestock
Agric,0217,Agric production - livestock
Agric,0218,Agric production - livestock
Agric,0219,Agric production - livestock
Agric,0220,Agric production - livestock
Agric,0221,Agric production - livestock
Agric,0222,Agric production - livestock
Agric,0223,Agric production - livestock
Agric,0224,Agric production - livestock
Agric,0225,Agric production - livestock
Agric,0226,Agric production - livestock
Agric,0227,Agric production - livestock
Agric,0228,Agric production - livestock
Agric,0229,Agric production - livestock
Agric,0230,Agric production - livestock
Agric,0231,Agric production - livestock
Agric,0232,Agric production - livestock
Agric,0233,Agric production - livestock
Agric,0234,Agric production - livestock
Agric,0235,Agric production - livestock
Agric,0236,Agric production - livestock
Agric,0237,Agric production - livestock
Agric,0238,Agric production - livestock
Agric,0239,Agric production - livestock
Agric,0240,Agric production - livestock
Agric,0241,Agric production - livestock
Agric,0242,Agric production - livestock
Agric,0243,Agric production - livestock
Agric,0244,Agric production - livestock
Agric,0245,Agric production - livestock
Agric,0246,Agric production - livestock
Agric,0247,Agric production - livestock
Agric,0248,Agric production - livestock
Agric,0249,Agric production - livestock
Agric,0250,Agric production - livestock
Agric,0251,Agric production - livestock
Agric,0252,Agric production - livestock
Agric,0253,Agric production - livestock
Agric,0254,Agric production - livestock
Agric,0255,Agric production - livestock
Agric,0256,Agric production - livestock
Agric,0257,Agric production - livestock
Agric,0258,Agric production - livestock
Agric,0259,Agric production - livestock
Agric,0260,Agric production - livestock
Agric,0261,Agric production - livestock
Agric,0262,Agric production - livestock
Agric,0263,Agric production - livestock
Agric,0264,Agric production - livestock
Agric,0265,Agric production - livestock
Agric,0266,Agric production - livestock
Agric,0267,Agric production - livestock
Agric,0268,Agric production - livestock
Agric,0269,Agric production - livestock
Agric,0270,Agric production - livestock
Agric,0271,Agric production - livestock
Agric,0272,Agric production - livestock
Agric,0273,Agric production - livestock
Agric,0274,Agric production - livestock
Agric,0275,Agric production - livestock
Agric,0276,Agric production - livestock
Agric,0277,Agric production - livestock
Agric,0278,Agric production - livestock
Agric,0279,Agric production - livestock
Agric,0280,Agric production - livestock
Agric,0281,Agric production - livestock
Agric,0282,Agric production - livestock
Agric,0283,Agric production - livestock
Agric,0284,Agric production - livestock
Agric,0285,Agric production - livestock
Agric,0286,Agric production - livestock
Agric,0287,Agric production - livestock
Agric,0288,Agric production - livestock
Agric,0289,Agric production - livestock
Agric,0290,Agric production - livestock
Agric,0291,Agric production - livestock
Agric,0292,Agric production - livestock
Agric,0293,Agric production - livestock
Agric,0294,Agric production - livestock
Agric,0295,Agric production - livestock
Agric,0296,Agric production - livestock
Agric,0297,Agric production - livestock
Agric,0298,Agric production - livestock
Agric,0299,Agric production - livestock
Agric,0700,Agricultural services
Agric,0701,Agricultural services
Agric,0702,Agricultural services
Agric,0703,Agricultural services
Agric,0704,Agricultural services
Agric,0705,Agricultural services
Agric,0706,Agricultural services
Agric,0707,Agricultural services
Agric,0708,Agricultural services
Agric,0709,Agricultural services
Agric,0710,Agricultural services
Agric,0711,Agricultural services
Agric,0712,Agricultural services
Agric,0713,Agricultural services
Agric,0714,Agricultural services
Agric,0715,Agricultural services
Agric,0716,Agricultural services
Agric,0717,Agricultural services
Agric,0718,Agricultural services
Agric,0719,Agricultural services
Agric,0720,Agricultural services
Agric,0721,Agricultural services
Agric,0722,Agricultural services
Agric,0723,Agricultural services
Agric,0724,Agricultural services
Agric,0725,Agricultural services
Agric,0726,Agricultural services
Agric,0727,Agricultural services
Agric,0728,Agricultural services
Agric,0729,Agricultural services
Agric,0730,Agricultural services
Agric,0731,Agricultural services
Agric,0732,Agricultural services
Agric,0733,Agricultural services
Agric,0734,Agricultural services
Agric,0735,Agricultural services
Agric,0736,Agricultural services
Agric,0737,Agricultural services
Agric,0738,Agricultural services
Agric,0739,Agricultural services
Agric,0740,Agricultural services
Agric,0741,Agricultural services
Agric,0742,Agricultural services
Agric,0743,Agricultural services
Agric,0744,Agricultural services
Agric,0745,Agricultural services
Agric,0746,Agricultural services
Agric,0747,Agricultural services
Agric,0748,Agricultural services
Agric,0749,Agricultural services
Agric,0750,Agricultural services
Agric,0751,Agricultural services
Agric,0752,Agricultural services
Agric,0753,Agricultural services
Agric,0754,Agricultural services
Agric,0755,Agricultural services
Agric,0756,Agricultural services
Agric,0757,Agricultural services
Agric,0758,Agricultural services
Agric,0759,Agricultural services
Agric,0760,Agricultural services
Agric,0761,Agricultural services
Agric,0762,Agricultural services
Agric,0763,Agricultural services
Agric,0764,Agricultural services
Agric,0765,Agricultural services
Agric,0766,Agricultural services
Agric,0767,Agricultural services
Agric,0768,Agricultural services
Agric,0769,Agricultural services
Agric,0770,Agricultural services
Agric,0771,Agricultural services
Agric,0772,Agricultural services
Agric,0773,Agricultural services
Agric,0774,Agricultural services
Agric,0775,Agricultural services
Agric,0776,Agricultural services
Agric,0777,Agricultural services
Agric,0778,Agricultural services
Agric,0779,Agricultural services
Agric,0780,Agricultural services
Agric,0781,Agricultural services
Agric,0782,Agricultural services
Agric,0783,Agricultural services
Agric,0784,Agricultural services
Agric,0785,Agricultural services
Agric,0786,Agricultural services
Agric,0787,Agricultural services
Agric,0788,Agricultural services
Agric,0789,Agricultural services
Agric,0790,Agricultural services
Agric,0791,Agricultural services
